Store Name,Address,Phone,Hours,Distance,Store ID,Services,Details URL
Chelsea (23rd and 6th),"60 W 23rd St, New York, NY 10010",(212) 366-1373,Open until 9 pm,0.5 miles away,482,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Trade-In, Alienware Experience Shop, Premium Home Theater",https://stores.bestbuy.com/482
Midtown Manhattan (44th and 5th),"531 5th Ave, New York, NY 10017",(212) 808-0309,Open until 9 pm,1 miles away,1028,"Geek Squad Services, Camera Experience Shop, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Apple Authorized Service Provider, Trade-In, Premium Design Center",https://stores.bestbuy.com/1028
Union Square,"52 E 14th St, Number 64, New York, NY 10003",(212) 466-4789,Open until 9 pm,1.1 miles away,1531,"Geek Squad Services, Camera Experience Shop, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Sony Experience, LG Experience, Apple Authorized Service Provider, Trade-In, Alienware Experience Shop, Google Home Experience, Amazon Alexa Experience, Best Buy Fit Program, Hearing Solutions Center, Premium Home Theater",https://stores.bestbuy.com/1531
Jersey City,"125 18th St, Jersey City, NJ 07310",(201) 792-8399,Open until 9 pm,2.5 miles away,1535,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Only, Sony Experience, LG Experience, Trade-In, Google Home Experience, Amazon Alexa Experience, Hearing Solutions Center, Premium Home Theater",https://stores.bestbuy.com/1535
86th and Lexington,"1280 Lexington Ave, New York, NY 10028",(917) 492-8870,Open until 9 pm,3 miles away,835,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Trade-In, Google Home Experience, Amazon Alexa Experience",https://stores.bestbuy.com/835
Secaucus,"3 Mill Creek Dr, Secaucus, NJ 07094",(201) 325-2277,Open until 9 pm,4.2 miles away,474,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Only, Sony Experience, LG Experience, Apple Authorized Service Provider, Trade-In, Google Home Experience, Amazon Alexa Experience, Hearing Solutions Center, Premium Design Center",https://stores.bestbuy.com/474
Long Island City,"5001 Northern Blvd, Long Island City, NY 11101",(718) 626-7585,Open until 9 pm,4.4 miles away,478,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Sony Experience, LG Experience, Apple Authorized Service Provider, Samsung Open House, Trade-In, Google Home Experience, Amazon Alexa Experience, Hearing Solutions Center, Premium Home Theater",https://stores.bestbuy.com/478
Atlantic Center,"625 Atlantic Ave, Ste A7, Brooklyn, NY 11217",(718) 230-7480,Open until 9 pm,4.7 miles away,2518,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Only, Trade-In, Google Home Experience, Amazon Alexa Experience, Hearing Solutions Center, Premium Home Theater",https://stores.bestbuy.com/2518
American Dream,"1 American Dream Way, C351, East Rutherford, NJ 07073",(201) 508-3768,Open until 10 pm,5.6 miles away,1217,"Geek Squad Services, Camera Experience Shop, Apple Shop, Windows Store, Samsung Open House, Trade-In, Google Home Experience, Amazon Alexa Experience, Best Buy Fit Program, Lovesac Experience",https://stores.bestbuy.com/1217
Bronx Terminal Market,"610 Exterior St, Bronx, NY 10451",(718) 402-2932,Open until 9 pm,6 miles away,1172,"Geek Squad Services, Apple Shop, Windows Store, Apple Authorized Service Provider, Trade-In, Google Home Experience, Amazon Alexa Experience",https://stores.bestbuy.com/1172
Rego Park,"6135 Junction Blvd, Rego Park, NY 11374",(718) 393-2690,Open until 9 pm,7 miles away,483,"Geek Squad Services, Camera Experience Shop, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Sony Experience, LG Experience, Car & GPS Installation Services, Trade-In, Dyson Demo Experience, Google Home Experience, Amazon Alexa Experience, Hearing Solutions Center, Premium Home Theater",https://stores.bestbuy.com/483
Gateway Brooklyn,"369 Gateway Dr, Brooklyn, NY 11239",(718) 348-2739,Open until 9 pm,9.3 miles away,1886,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Only, Apple Authorized Service Provider, Trade-In, Hearing Solutions Center",https://stores.bestbuy.com/1886
Bronx Riverdale,"171 W 230th St, Ste 103, Bronx, NY 10463",(718) 530-7720,Open until 9 pm,10.1 miles away,1261,"Geek Squad Services, Trade-In",https://stores.bestbuy.com/1261
Bay Parkway Brooklyn,"8923 Bay Pkwy, Brooklyn, NY 11214",(718) 265-6950,Open until 9 pm,10.7 miles away,599,"Geek Squad Services, Camera Experience Shop, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Sony Experience, LG Experience, Apple Authorized Service Provider, Trade-In, Google Home Experience, Amazon Alexa Experience, Hearing Solutions Center",https://stores.bestbuy.com/599
Bergen Town Center,"2400 Bergen Town Ctr, Paramus, NJ 07652",(201) 556-1321,Open until 9 pm,11.8 miles away,887,"Geek Squad Services, Apple Shop, Windows Store, Samsung Experience Shop, Samsung Experience Only, Sony Experience, LG Experience, Trade-In, Premium Home Theater",https://stores.bestbuy.com/887
